time,analog0
5860,4.8
5862,4.79
6062,4.79
6264,4.8
6467,4.8
6663,4.8
6862,4.8
7062,4.8
7263,4.8
7466,4.8
7668,4.8
7865,4.8
8067,4.8
8263,4.8
8467,4.8
8662,4.8
8867,4.8
9067,4.8
9263,4.8
9465,4.79
9667,4.8
9863,4.8
10062,4.8
10267,4.8
10464,4.8
10662,4.8
10863,4.8
11063,4.8
11263,4.8
11463,4.8
11664,4.8
11867,4.8
12062,4.8
12263,4.8
12463,4.8
12663,4.8
12863,4.8
13068,4.8
13267,4.8
13462,4.8
13663,4.8
13863,4.8
14062,4.8
14265,4.8
14466,4.8
14664,4.8
14866,4.8
15063,4.8
15267,4.8
15465,4.8
15664,4.8
15866,4.8
16065,4.8
16263,4.8
16465,4.8
16665,4.8
16864,4.8
17063,4.79
17262,4.79
17463,4.8
17666,4.79
17862,4.8
18064,4.79
18267,4.8
18462,4.8
18663,4.8
18863,4.8
19068,4.8
19266,4.8
19467,4.8
19662,4.8
19863,4.8
20065,4.8
20267,4.8
20465,4.8
20662,4.8
20863,4.8
21067,4.8
21263,4.8
21463,4.8
